antecedents,consequents,antecedent support,consequent support,support,confidence,lift,leverage,conviction,zhangs_metric
country:UK,store:gymshark,0.3684,0.2105,0.2105,0.5714,2.7143,0.133,1.8421,1.0
store:gymshark,country:UK,0.2105,0.3684,0.2105,1.0,2.7143,0.133,999.0,0.8
"country:UK, in_stock:yes",store:gymshark,0.2284,0.2105,0.1376,0.6025,2.862,0.0895,1.9863,0.8432
"in_stock:yes, store:gymshark",country:UK,0.1376,0.3684,0.1376,1.0,2.7143,0.0869,999.0,0.7324
store:gymshark,"country:UK, in_stock:yes",0.2105,0.2284,0.1376,0.6537,2.862,0.0895,2.2284,0.8241
"country:UK, in_stock:yes, price:mid",store:gymshark,0.2018,0.2105,0.1153,0.5711,2.7125,0.0728,1.8405,0.791
"in_stock:yes, price:mid, store:gymshark",country:UK,0.1153,0.3684,0.1153,1.0,2.7143,0.0728,999.0,0.7139
"in_stock:yes, store:gymshark","country:UK, price:mid",0.1376,0.3168,0.1153,0.8375,2.6432,0.0717,4.2034,0.7209
"price:mid, store:gymshark","country:UK, in_stock:yes",0.1663,0.2284,0.1153,0.693,3.034,0.0773,2.5136,0.8041
"price:mid, store:gymshark",country:UK,0.1663,0.3684,0.1663,1.0,2.7143,0.105,999.0,0.7576
store:gymshark,"country:UK, price:mid",0.2105,0.3168,0.1663,0.79,2.4934,0.0996,3.2531,0.7586
"country:UK, on_promo:yes",store:gymshark,0.0816,0.2105,0.0813,0.9968,4.7347,0.0641,244.7368,0.8589
"on_promo:yes, store:gymshark",country:UK,0.0813,0.3684,0.0813,1.0,2.7143,0.0514,999.0,0.6875
"country:UK, on_promo:yes, price:mid",store:gymshark,0.0576,0.2105,0.0576,1.0,4.75,0.0455,999.0,0.8378
"on_promo:yes, price:mid, store:gymshark",country:UK,0.0576,0.3684,0.0576,1.0,2.7143,0.0364,999.0,0.6702
"country:UK, on_promo:yes","price:mid, store:gymshark",0.0816,0.1663,0.0576,0.7065,4.2477,0.0441,2.84,0.8325
"on_promo:yes, store:gymshark","country:UK, price:mid",0.0813,0.3168,0.0576,0.7087,2.2369,0.0319,2.3455,0.6019
on_promo:yes,country:US,0.3724,0.4684,0.2645,0.7102,1.5163,0.09,1.8346,0.5425
country:US,on_promo:yes,0.4684,0.3724,0.2645,0.5646,1.5163,0.09,1.4415,0.6405
"in_stock:yes, on_promo:yes, price:mid",country:US,0.1526,0.4684,0.1139,0.7466,1.5938,0.0425,2.0974,0.4397
"on_promo:yes, price:mid",country:US,0.2734,0.4684,0.2105,0.77,1.6438,0.0825,2.3109,0.539
"country:US, price:mid",on_promo:yes,0.3418,0.3724,0.2105,0.6159,1.6539,0.0832,1.6339,0.6007
on_promo:yes,"country:US, price:mid",0.3724,0.3418,0.2105,0.5654,1.6539,0.0832,1.5143,0.6299
store:oneractive,country:UK,0.1579,0.3684,0.1579,1.0,2.7143,0.0997,999.0,0.75
"price:mid, store:oneractive",country:UK,0.1505,0.3684,0.1505,1.0,2.7143,0.0951,999.0,0.7435
store:oneractive,"country:UK, price:mid",0.1579,0.3168,0.1505,0.9533,3.0089,0.1005,14.6391,0.7928
"in_stock:yes, store:oneractive",country:UK,0.0908,0.3684,0.0908,1.0,2.7143,0.0573,999.0,0.6946
store:oneractive,"country:UK, in_stock:yes",0.1579,0.2284,0.0908,0.575,2.5173,0.0547,1.8155,0.7158
"in_stock:yes, price:mid, store:oneractive",country:UK,0.0866,0.3684,0.0866,1.0,2.7143,0.0547,999.0,0.6914
"in_stock:yes, store:oneractive","country:UK, price:mid",0.0908,0.3168,0.0866,0.9536,3.0098,0.0578,14.7306,0.7344
"price:mid, store:oneractive","country:UK, in_stock:yes",0.1505,0.2284,0.0866,0.5752,2.518,0.0522,1.8162,0.7097
store:oneractive,category:sportswear,0.1579,0.1576,0.1576,0.9983,6.3333,0.1327,505.4211,1.0
category:sportswear,store:oneractive,0.1576,0.1579,0.1576,1.0,6.3333,0.1327,999.0,0.9997
category:sportswear,country:UK,0.1576,0.3684,0.1576,1.0,2.7143,0.0996,999.0,0.7498
"country:UK, store:oneractive",category:sportswear,0.1579,0.1576,0.1576,0.9983,6.3333,0.1327,505.4211,1.0
"category:sportswear, country:UK",store:oneractive,0.1576,0.1579,0.1576,1.0,6.3333,0.1327,999.0,0.9997
"category:sportswear, store:oneractive",country:UK,0.1576,0.3684,0.1576,1.0,2.7143,0.0996,999.0,0.7498
store:oneractive,"category:sportswear, country:UK",0.1579,0.1576,0.1576,0.9983,6.3333,0.1327,505.4211,1.0
category:sportswear,"country:UK, store:oneractive",0.1576,0.1579,0.1576,1.0,6.3333,0.1327,999.0,0.9997
